epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.467,0.99726,1.00882,1.15092,0.81345,0.68584,0.78201,0.54209,1.00229,0.78759,1.10433,0.0700958,0.00332268,0.00332268
2,182.634,1.14863,1.04379,1.22641,0.69943,0.56116,0.63466,0.38933,1.28618,1.17963,1.29697,0.0399641,0.00652423,0.00652423
3,258.309,1.43335,1.45494,1.42103,0.44423,0.34987,0.35884,0.18335,1.69032,1.93193,1.66005,0.00970027,0.00959377,0.00959377
4,334.54,1.668,1.82367,1.61119,0.46829,0.35205,0.34412,0.16324,1.84313,2.45792,1.76062,0.009406,0.009406,0.009406
5,414.874,1.66746,1.80993,1.60841,0.52782,0.39349,0.40018,0.20095,1.75086,1.85547,1.66867,0.009208,0.009208,0.009208
6,493.199,1.61857,1.74721,1.584,0.57692,0.43711,0.4697,0.24786,1.63187,1.6295,1.60077,0.00901,0.00901,0.00901
7,569.739,1.56538,1.68397,1.54828,0.59795,0.42154,0.46849,0.25777,1.58413,1.62287,1.54482,0.008812,0.008812,0.008812
8,644.437,1.54287,1.63975,1.53731,0.63162,0.43005,0.48443,0.26609,1.58388,1.60235,1.56214,0.008614,0.008614,0.008614
9,717.75,1.50959,1.60316,1.52575,0.64798,0.47374,0.52918,0.30112,1.48482,1.508,1.47801,0.008416,0.008416,0.008416
10,792.887,1.46387,1.5047,1.4803,0.66151,0.50282,0.56784,0.3361,1.40553,1.35413,1.43688,0.008218,0.008218,0.008218
11,870.024,1.43218,1.47298,1.46288,0.67469,0.51363,0.57886,0.34345,1.39049,1.32335,1.41275,0.00802,0.00802,0.00802
12,946.364,1.42431,1.45251,1.45336,0.68005,0.51843,0.58985,0.35382,1.37276,1.29265,1.40649,0.007822,0.007822,0.007822
13,1022.51,1.40953,1.41107,1.44785,0.69563,0.55184,0.61671,0.37537,1.31625,1.20515,1.36204,0.007624,0.007624,0.007624
14,1099.34,1.36756,1.36803,1.42071,0.71758,0.544,0.63059,0.38674,1.30773,1.17889,1.35617,0.007426,0.007426,0.007426
15,1175.97,1.35644,1.35779,1.41061,0.7068,0.56489,0.64294,0.39882,1.28719,1.15393,1.34354,0.007228,0.007228,0.007228
16,1252.44,1.33576,1.31243,1.40074,0.73437,0.56429,0.65188,0.40877,1.25883,1.12845,1.32433,0.00703,0.00703,0.00703
17,1328.2,1.31625,1.2759,1.38399,0.73568,0.58579,0.67175,0.42312,1.24166,1.08737,1.30205,0.006832,0.006832,0.006832
18,1404.8,1.2947,1.25692,1.37225,0.74082,0.57525,0.66603,0.42483,1.2351,1.09392,1.30853,0.006634,0.006634,0.006634
19,1481.83,1.28626,1.24058,1.37166,0.74161,0.57824,0.66759,0.42663,1.20813,1.0921,1.28213,0.006436,0.006436,0.006436
20,1558.23,1.2625,1.20834,1.35174,0.75429,0.60015,0.69324,0.44815,1.18084,1.02496,1.26811,0.006238,0.006238,0.006238
21,1633.69,1.23977,1.16799,1.3277,0.74513,0.60096,0.69286,0.45396,1.15417,1.00533,1.246,0.00604,0.00604,0.00604
